4403934458976094|CNX_DROPPED|25|961
4403934490534679|CNX_DROPPED|24|199
4403934471814603|CNX_DROPPED|24|891
4403934447597639|CNX_DROPPED|27|879
4403934415182398|CNX_DROPPED|26|337
4403934463447792|CNX_DROPPED|30|996
4403934484962357|CNX_DROPPED|24|911
4403934475083445|CNX_DROPPED|28|488
4403934446569282|CNX_DROPPED|26|140
4403934476413674|CNX_DROPPED|29|108
4403934495149648|CNX_DROPPED|24|606
4403934494358711|CNX_DROPPED|25|111
4403934475632308|CNX_DROPPED|29|458
4403934466948291|CNX_DROPPED|28|920
4403934417692410|CNX_DROPPED|25|394
4403934460792414|CNX_DROPPED|25|905
4403934494845022|CNX_DROPPED|28|891
4403934410528652|CNX_DROPPED|29|367
4403934421714259|CNX_DROPPED|30|264
4403934435807594|CNX_DROPPED|26|363
4403934444930718|CNX_DROPPED|29|784
4403934407636997|CNX_DROPPED|26|156
4403934488640413|CNX_DROPPED|26|770
4403934418143579|CNX_DROPPED|27|556
4403934457276603|CNX_DROPPED|24|704
4403934408464639|CNX_DROPPED|24|850
4403934453496148|CNX_DROPPED|25|985
4403934491076456|CNX_DROPPED|26|924
4403934433874521|CNX_DROPPED|27|841
4403934489667415|CNX_DROPPED|30|209
4403934476109983|CNX_DROPPED|30|551
4403934436728625|CNX_DROPPED|26|107
4403934412589967|CNX_DROPPED|28|984
4403934449653521|CNX_DROPPED|29|841
4403934434567249|CNX_DROPPED|24|736
4403934434577685|CNX_DROPPED|26|570
4403934458643272|CNX_DROPPED|24|455
4403934423691786|CNX_DROPPED|30|479
4403934451346980|CNX_DROPPED|25|235
4403934469506112|CNX_DROPPED|30|314
4403934489263421|CNX_DROPPED|29|155
4403934463798681|CNX_DROPPED|26|724
4403934442390568|CNX_DROPPED|26|738
4403934468192781|CNX_DROPPED|26|568
4403934484739672|CNX_DROPPED|30|601
4403934463154539|CNX_DROPPED|28|842
4403934496292801|CNX_DROPPED|25|168
4403934487947512|CNX_DROPPED|28|581
4403934413459780|CNX_DROPPED|29|242
4403934453243896|CNX_DROPPED|30|944
4403934431462972|CNX_DROPPED|29|471
4403934432370299|CNX_DROPPED|29|467
4403934437348845|CNX_DROPPED|29|887
